path,loc,top_level_classes,top_level_funcs,imports_from_lattice,imported_by_count,phase_target,final_path,disposition
src/lattice/__init__.py,8,0,0,lattice._version,0,-,__init__.py,KEEP
src/lattice/_compat.py,35,0,0,,0,-,_compat.py,KEEP
src/lattice/_version.py,6,0,0,,5,-,_version.py,KEEP
src/lattice/cli.py,1011,0,34,lattice._version|lattice.core.config|lattice.integrations.init|lattice.integrations.lace|lattice.integrations.mutation_store|lattice.integrations.registry|lattice.proxy.lifecycle|lattice.ui,0,-,cli.py,KEEP
src/lattice/client.py,326,2,2,lattice.client|lattice.core.config|lattice.core.context|lattice.core.pipeline|lattice.core.pipeline_factory|lattice.core.result|lattice.core.runtime_state|lattice.core.serialization|lattice.core.transport|lattice.utils.token_count,9,-,client.py,KEEP
src/lattice/core/__init__.py,64,0,0,lattice.core.config|lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport,0,-,core/__init__.py,KEEP
src/lattice/core/agent_stats.py,301,2,1,lattice.core.cost_estimator,3,8,telemetry/agent_stats.py,MOVE
src/lattice/core/auto_continuation.py,215,2,0,lattice.core.runtime_state|lattice.core.transport,2,2,pipeline/auto_continuation.py,MOVE
src/lattice/core/batch_accumulator.py,268,3,0,,1,2,pipeline/batch_accumulator.py,MOVE
src/lattice/core/compiler.py,58,1,2,lattice.core.context|lattice.core.ir|lattice.core.ir_builder|lattice.core.ir_normalizer|lattice.core.ir_serializer|lattice.core.transport,4,1,(inlined into ir/builder.py),DELETE
src/lattice/core/config.py,505,2,0,lattice.core.transform_registry,56,-,core/config.py,KEEP
src/lattice/core/context.py,160,1,0,,90,-,core/context.py,KEEP
src/lattice/core/cost_estimator.py,558,3,6,,5,8,telemetry/cost_estimator.py,MOVE
src/lattice/core/credentials.py,263,2,0,,5,3,providers/credentials.py,MOVE
src/lattice/core/delta_wire.py,383,2,2,lattice.core.session|lattice.core.telemetry|lattice.core.transport,6,2,transport/delta_wire.py,MOVE
src/lattice/core/errors.py,264,16,0,,43,-,core/errors.py,KEEP
src/lattice/core/guardrails.py,409,3,8,,5,2,pipeline/guardrails.py,MOVE
